strain,marker,amr_class,locus_tag,protein_id,hyperedge_id,hyperedge_type,hyperedge_name,hyperedge_n_nodes
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2256,multi_omics_triple,Triple_EW035_RS23590,3
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2414,kegg_pathway,map01501,19
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2415,kegg_pathway,ko01501,19
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2578,kegg_pathway,ko01130,204
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2579,kegg_pathway,map01130,204
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2688,kegg_pathway,ko00311,2
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2689,kegg_pathway,map00311,2
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2705,cog_category,COG_V: Defense mechanisms,56
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2710,amr_mechanism,beta_lactam_resistance,5
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,2864,go_term,GO:0046677: P:response to antibiotic,36
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,3091,go_term,GO:0008800: F:beta-lactamase activity,3
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,3609,metabolic_pathway,Metabolic_map00311,5
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,3736,go_term,GO:0030655: GO:0030655,1
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2290,multi_omics_triple,Triple_EW035_RS24340,3
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2414,kegg_pathway,map01501,19
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2415,kegg_pathway,ko01501,19
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2578,kegg_pathway,ko01130,204
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2579,kegg_pathway,map01130,204
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2688,kegg_pathway,ko00311,2
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2689,kegg_pathway,map00311,2
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2705,cog_category,COG_V: Defense mechanisms,56
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,2710,amr_mechanism,beta_lactam_resistance,5
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,3609,metabolic_pathway,Metabolic_map00311,5
MS_14386,aac(3)-IId,aminoglycoside,EW035_RS23675,WP_000557454.1,2262,multi_omics_triple,Triple_EW035_RS23675,3
MS_14386,aac(3)-IId,aminoglycoside,EW035_RS23675,WP_000557454.1,2705,cog_category,COG_V: Defense mechanisms,56
MS_14386,aac(3)-IId,aminoglycoside,EW035_RS23675,WP_000557454.1,2711,amr_mechanism,aminoglycoside_resistance,10
MS_14386,aac(3)-IId,aminoglycoside,EW035_RS23675,WP_000557454.1,2864,go_term,GO:0046677: P:response to antibiotic,36
MS_14386,aac(3)-IId,aminoglycoside,EW035_RS23675,WP_000557454.1,3737,go_term,GO:0046353: GO:0046353,1
MS_14386,aadA1,aminoglycoside,EW035_RS23490,,2711,amr_mechanism,aminoglycoside_resistance,10
MS_14386,aph(3')-Ia,aminoglycoside,EW035_RS23605,WP_000018329.1,2257,multi_omics_triple,Triple_EW035_RS23605,3
MS_14386,aph(3')-Ia,aminoglycoside,EW035_RS23605,WP_000018329.1,2699,cog_category,COG_F: Nucleotide transport and metabolism,372
MS_14386,aph(3')-Ia,aminoglycoside,EW035_RS23605,WP_000018329.1,2711,amr_mechanism,aminoglycoside_resistance,10
MS_14386,aph(3')-Ia,aminoglycoside,EW035_RS23605,WP_000018329.1,2732,go_term,GO:0005524: F:ATP binding,182
MS_14386,aph(3')-Ia,aminoglycoside,EW035_RS23605,WP_000018329.1,2743,go_term,GO:0046872: F:metal ion binding,124
